noise,n_events,n_clusters_mean
0.05,1000,14.83
0.1,1000,7.02
0.15,1000,5.74
0.2,1000,5.93
0.25,1000,7.24
0.3,1000,9.14
0.35,1000,12.14
0.4,1000,16.04
0.45,1000,17.98
0.5,1000,19.2
0.55,1000,20.22
0.6,1000,20.6
0.65,1000,20.83
0.7,1000,21.08
0.75,1000,21.23
0.8,1000,21.19
0.85,1000,21.34
0.9,1000,21.4
0.95,1000,21.53
