event_n,event_clusters,n_hits,energy_value
118,0,17975,146.95
118,222,517,74.336
119,0,17909,144.834
119,9,568,69.798
120,0,18105,145.276
120,53,510,72.96
121,0,17983,144.236
121,4,2,0.018
121,54,612,73.025
121,106,2,0.026
121,223,3,0.019
122,0,17843,143.747
122,151,497,74.153
123,0,17910,144.549
123,22,518,74.088
124,0,17959,146.039
124,20,4,0.296
124,91,2,0.022
124,198,626,69.143
125,0,18092,145.93
125,23,1,0.072
125,33,613,75.395
126,0,18023,146.679
126,1,2,0.084
126,33,544,70.526
127,0,17947,145.033
127,25,513,71.384
128,0,18044,146.05
128,38,539,72.595
129,0,17960,144.996
129,187,542,73.81
130,0,17846,143.132
130,51,1,0.016
130,52,541,70.561
131,0,18068,146.306
131,91,510,73.982
132,0,18020,144.868
132,39,539,73.977
133,0,18083,146.457
133,9,2,0.02
133,11,1,0.006
133,19,2,0.012
133,220,494,74.415
134,0,17954,145.711
134,25,529,70.945
134,396,1,0.006
135,0,18408,149.17
135,88,496,74.589
136,0,17971,145.093
136,77,536,75.498
137,0,18362,147.715
137,25,1,0.008
137,114,539,74.247
138,0,17626,141.35
138,20,533,72.366
138,90,1,0.017
139,0,17891,143.597
139,58,516,72.396
140,0,18006,144.296
140,78,520,74.582
141,0,18170,144.977
141,20,537,72.724
141,48,1,0.034
142,0,18086,145.315
142,5,2,0.018
142,84,526,72.432
143,0,18139,146.247
143,95,524,71.523
144,0,18032,146.243
144,43,4,10.213
144,133,491,66.793
145,0,17878,146.218
145,29,541,73.736
146,0,17957,145.187
146,24,2,0.052
146,40,1,0.023
146,183,546,73.085
147,0,17930,147.088
147,49,530,77.406
148,0,17977,145.626
148,46,565,73.926
149,0,18049,146.919
149,52,492,67.375
150,0,18055,146.888
150,166,508,71.872
151,0,17936,145.852
151,19,635,76.989
152,0,17921,144.567
152,35,479,74.028
152,221,2,0.022
153,0,17888,144.052
153,1,2,0.015
153,133,561,71.988
154,0,18043,146.587
154,105,532,76.73
154,217,1,0.052
155,0,17971,144.671
155,52,596,71.372
156,0,17988,145.471
156,248,4,0.189
156,311,521,73.958
157,0,18268,145.738
157,71,527,74.989
157,556,4,0.025
157,559,3,0.073
158,0,17918,144.255
158,10,604,71.402
158,97,1,0.042
159,0,17855,143.406
159,11,2,0.018
159,76,554,74.446
160,0,17817,144.824
160,27,507,70.442
160,30,1,0.008
160,530,2,0.074
161,0,18259,146.444
161,53,534,74.461
162,0,17948,144.316
162,48,600,70.915
162,72,3,0.05
163,0,17951,142.856
163,46,490,73.914
164,0,18199,148.433
164,112,554,76.692
165,0,17975,145.014
165,88,505,70.769
165,266,2,0.013
165,428,2,0.014
166,0,18095,146.0
166,59,520,75.844
167,0,17756,142.861
167,30,531,74.015
168,0,18053,146.968
168,48,2,0.043
168,193,510,78.428
169,0,17905,142.843
169,23,509,72.305
170,0,18044,145.702
170,47,501,74.607
170,61,1,0.007
171,0,17870,142.659
171,153,526,73.677
172,0,17820,142.978
172,2,2,0.018
172,54,535,74.097
173,0,18110,146.448
173,73,576,73.818
174,0,17816,143.606
174,56,527,74.249
175,0,18194,147.56
175,35,517,71.82
176,0,17837,144.551
176,5,3,0.129
176,48,531,74.121
176,51,4,0.049
177,0,17936,145.699
177,32,512,74.462
178,0,17948,144.838
178,81,588,76.45
179,0,18094,147.2
179,43,5,0.08
179,176,2,0.015
179,194,538,73.958
180,0,18270,148.103
180,49,515,75.398
181,0,17924,143.163
181,126,551,74.208
182,0,17871,144.749
182,50,562,73.897
183,0,18043,145.265
183,14,579,75.79
183,36,4,0.1
184,0,17974,145.823
184,78,496,70.535
184,189,1,0.026
185,0,18051,146.622
