event_n,event_clusters,n_hits,energy_value
0,0,17882,143.975
0,9,165,10.322
1,0,17935,143.538
1,26,144,9.249
2,0,18150,145.097
2,14,120,8.675
3,0,18164,146.341
3,25,123,9.873
4,0,17811,144.006
4,18,131,10.411
5,0,17977,145.088
5,12,140,9.33
6,0,18126,144.929
6,5,1,0.012
6,12,166,10.714
7,0,17999,143.674
7,35,125,8.139
8,0,18220,144.76
8,24,126,10.328
9,0,18031,144.268
9,6,152,9.292
10,0,17941,143.736
10,2,154,9.458
11,0,18005,145.462
11,34,117,8.243
12,0,17993,144.005
12,7,147,9.564
13,0,17903,144.753
13,11,144,10.267
14,0,18092,145.368
14,19,131,9.79
15,0,17922,143.969
15,20,129,8.974
16,0,18197,145.956
16,20,147,9.331
17,0,17907,143.288
17,10,155,11.173
18,0,17998,144.062
18,26,151,10.082
19,0,17924,143.78
19,14,126,9.378
20,0,17827,141.298
20,17,137,10.195
21,0,18000,145.279
21,10,117,10.505
22,0,18141,145.178
22,18,108,9.008
23,0,17925,143.963
23,32,137,10.519
24,0,18132,144.202
24,22,134,10.635
25,0,17861,143.515
25,30,140,9.451
26,0,17984,145.455
26,20,133,10.121
27,0,17845,143.76
27,7,2,0.012
27,11,128,10.254
27,65,3,0.019
28,0,17915,144.625
28,19,118,8.85
29,0,17794,143.576
29,1,1,0.008
29,16,121,10.013
30,0,17806,142.096
30,2,2,0.019
30,20,152,10.665
31,0,17806,143.02
31,7,5,0.051
31,67,117,9.911
32,0,18218,146.832
32,14,141,9.256
33,0,18148,146.502
33,13,122,10.26
34,0,17794,143.272
34,24,124,10.206
35,0,18076,145.262
35,23,138,9.361
36,0,17838,142.983
36,21,153,11.39
37,0,18012,145.527
37,15,125,9.342
38,0,17960,144.156
38,15,135,10.134
39,0,17906,142.817
39,15,131,9.682
40,0,18152,143.806
40,17,110,8.566
41,0,18132,146.305
41,9,129,9.426
42,0,17827,143.089
42,17,122,9.979
43,0,18155,145.306
43,16,132,9.477
44,0,17944,142.547
44,18,151,9.84
44,125,1,0.006
44,168,3,0.022
45,0,17987,142.92
45,15,116,10.374
46,0,17995,145.924
46,23,128,10.31
47,0,18237,146.626
47,18,137,9.36
48,0,17914,143.302
48,13,123,8.591
49,0,18044,145.611
49,42,118,9.701
50,0,18078,145.56
50,24,126,9.226
51,0,17891,144.441
51,10,140,9.839
52,0,17541,140.478
52,90,147,10.099
53,0,17800,142.269
53,14,114,8.62
54,0,17975,144.364
54,18,133,10.385
55,0,18005,144.326
55,12,170,11.161
56,0,17978,143.735
56,12,116,9.484
57,0,17929,141.039
