event_n,event_clusters,n_hits,energy_value
0,0,18187,145.659
0,125,1,0.022
0,294,1045,202.6
1,0,17791,143.106
1,122,1,6.836
1,161,1011,192.112
2,0,17913,145.921
2,42,1004,199.026
3,0,18036,145.628
3,20,1192,188.023
3,27,1,0.006
3,559,1,0.034
4,0,17702,141.672
4,17,7,0.139
4,152,1022,196.146
4,213,3,0.018
4,1003,2,0.053
5,0,17954,145.241
5,63,2,0.013
5,95,2,0.043
5,136,2,11.882
5,285,967,175.315
6,0,17988,145.644
6,8,1,0.006
6,263,1235,206.279
7,0,17967,145.414
7,31,2,0.033
7,101,1013,189.644
8,0,18102,145.714
8,23,6,0.035
8,31,4,0.121
8,69,1,0.006
8,242,976,196.783
9,0,17990,144.328
9,116,1000,196.025
10,0,18078,147.028
10,265,2,0.012
10,512,1019,196.254
11,0,18011,147.542
11,128,1,9.632
11,325,985,187.838
11,368,1,0.008
12,0,18005,144.817
12,24,2,0.034
12,233,1002,197.149
13,0,17836,143.307
13,24,4,0.03
13,44,986,197.268
14,0,18052,145.864
14,51,1044,192.161
14,292,2,0.016
15,0,17932,145.576
15,18,3,0.046
15,19,2,0.022
15,60,2,0.553
15,90,963,195.112
15,98,1,0.011
15,204,4,0.068
16,0,17935,144.736
16,36,1,0.006
16,94,1022,195.678
17,0,17910,144.354
17,49,975,192.378
18,0,17992,146.038
18,35,3,0.251
18,50,1,0.006
18,51,4,0.044
18,145,1,0.006
18,294,1190,201.734
19,0,18013,146.756
19,48,2,0.07
19,102,1,0.014
19,123,1199,200.064
20,0,18001,145.851
20,43,3,0.103
20,52,1,0.006
20,61,1027,202.259
20,136,1,0.016
21,0,18103,144.866
21,19,1222,198.415
22,0,17951,146.312
22,62,1029,195.96
23,0,18057,144.576
23,327,1025,201.862
24,0,18108,146.274
24,11,2,0.018
24,25,1051,194.177
24,43,1,0.006
24,102,1,6.442
24,427,7,0.044
25,0,18237,146.693
25,18,2,0.057
25,19,4,0.048
