event_n,event_clusters,n_hits,energy_value
0,0,17884,141.204
0,85,440,46.999
1,0,18168,143.296
1,6,2,0.011
1,123,412,48.162
2,0,17997,141.114
2,47,374,49.179
2,165,4,0.027
3,0,18126,144.206
3,83,391,47.753
4,0,18261,145.64
4,97,580,41.841
4,105,2,0.062
5,0,18193,145.098
5,50,366,47.506
6,0,18049,145.118
6,134,467,49.941
7,0,18200,145.131
7,19,387,47.96
8,0,18076,143.264
8,23,403,50.381
8,27,1,0.007
9,0,18009,143.964
9,16,481,49.817
9,39,5,0.282
10,0,17877,141.487
10,47,400,49.522
10,70,2,0.073
11,0,17758,140.011
11,60,396,49.24
11,246,2,0.013
12,0,18219,146.323
12,18,6,0.231
12,36,390,49.117
12,40,1,0.015
12,68,3,0.1
13,0,17986,143.7
13,303,409,50.002
14,0,18231,144.843
14,47,436,50.594
15,0,17947,142.708
15,2,2,0.03
15,38,406,49.562
15,40,1,0.012
16,0,18137,143.295
16,22,411,49.502
17,0,18299,145.791
17,21,1,0.006
17,46,451,50.801
17,445,1,0.073
18,0,18096,144.595
18,9,458,50.67
18,56,1,0.02
18,72,1,0.056
19,0,18106,144.012
19,122,454,45.508
19,448,7,0.19
20,0,18120,143.328
20,32,386,49.193
21,0,18061,144.151
21,2,1,0.024
21,8,2,0.068
21,36,401,49.798
22,0,18227,144.991
22,29,380,46.406
22,361,5,0.03
22,371,1,0.006
23,0,18181,144.025
23,8,410,48.85
24,0,18169,144.577
24,59,386,47.189
25,0,18002,145.369
25,59,438,51.526
25,66,2,0.055
26,0,18126,143.768
26,26,476,50.153
27,0,18070,143.756
27,24,396,50.413
28,0,18058,143.085
28,8,1,0.006
28,25,1,0.006
28,38,6,0.036
28,39,418,44.025
28,72,3,0.047
28,383,1,0.006
29,0,18202,144.001
29,89,402,46.954
30,0,17880,141.462
30,83,1,0.062
30,165,418,47.917
31,0,18115,144.1
31,1,2,0.018
31,40,396,46.946
32,0,18090,144.364
32,46,1,0.034
32,91,409,50.213
32,173,1,0.02
33,0,18402,146.382
33,13,462,48.723
34,0,17995,143.509
34,36,488,47.915
35,0,17858,142.491
35,15,375,46.409
36,0,17846,140.949
36,94,377,49.242
37,0,17936,142.738
37,11,381,51.864
38,0,18216,146.345
38,53,417,45.092
39,0,18027,143.892
39,91,408,47.9
40,0,18130,144.573
40,30,405,48.348
41,0,18182,145.704
41,37,379,50.19
42,0,18175,144.314
42,34,406,47.278
42,52,2,0.012
43,0,18190,143.569
43,19,397,49.033
43,105,2,0.024
44,0,18152,143.918
44,26,550,50.934
45,0,18132,143.416
45,23,421,50.8
46,0,18192,145.025
46,10,418,49.636
46,80,1,0.017
47,0,17688,139.413
47,19,431,50.332
48,0,17962,145.513
48,26,418,46.936
49,0,18160,145.737
49,50,396,49.257
50,0,18321,145.538
50,44,421,47.858
51,0,18264,146.351
51,72,410,47.877
51,101,1,0.045
52,0,18363,146.253
52,32,470,49.076
53,0,17756,141.389
53,29,428,53.653
54,0,17965,142.972
54,32,486,46.065
54,408,2,0.038
55,0,17823,143.029
55,34,433,47.073
56,0,17914,142.336
56,24,393,49.835
56,40,1,0.016
57,0,18158,144.053
57,8,370,48.334
58,0,18010,142.422
58,319,417,47.753
59,0,18422,147.088
59,52,402,49.089
60,0,18051,142.832
60,35,404,50.217
60,272,2,0.013
61,0,17913,142.491
61,17,415,47.659
62,0,18278,145.599
62,9,2,0.051
62,34,400,48.669
63,0,17996,145.164
63,11,472,50.171
64,0,18135,143.12
64,45,367,47.756
64,118,1,0.014
65,0,18063,142.75
65,7,4,0.024
65,267,404,50.969
66,0,18275,144.954
66,71,451,50.065
66,109,1,0.055
67,0,18211,144.592
67,79,432,52.011
67,318,3,0.017
68,0,18168,144.331
68,18,425,48.06
69,0,18068,144.319
69,7,5,0.029
69,38,394,51.66
69,87,1,0.013
70,0,17880,141.837
70,116,380,47.821
71,0,18023,142.595
71,65,389,47.361
72,0,18066,140.741
72,125,439,48.913
73,0,17868,142.558
73,1,5,0.036
73,23,461,50.725
74,0,17827,143.189
74,30,444,48.332
75,0,18227,144.337
75,36,384,49.084
76,0,18099,144.533
76,68,413,53.76
77,0,17963,142.618
77,47,447,50.044
78,0,18357,146.77
78,28,377,49.999
79,0,18366,146.087
79,46,501,49.102
79,344,6,0.167
80,0,18219,145.585
80,46,443,46.341
81,0,18095,144.819
81,62,403,48.054
81,297,6,0.037
82,0,18267,144.779
82,54,1,0.006
82,101,506,49.018
