noise,n_events,n_clusters_mean
0.05,1000,14.82
0.1,1000,7.43
0.15,1000,6.24
0.2,1000,6.89
0.25,1000,10.1
0.3,1000,14.26
0.35,1000,17.8
0.4,1000,19.34
0.45,1000,20.53
0.5,1000,21.39
0.55,1000,22.15
0.6,1000,22.6
0.65,1000,23.11
0.7,1000,23.48
0.75,1000,23.51
0.8,1000,23.82
0.85,1000,23.8
0.9,1000,24.07
0.95,1000,24.05
