event_n,event_clusters,n_hits,energy_value
0,0,18185,144.778
0,9,6,0.046
0,18,1,0.017
0,75,276,23.51
1,0,17719,141.664
1,11,263,23.291
2,0,18036,144.289
2,27,232,23.363
3,0,17810,143.241
3,48,257,21.956
3,170,7,0.224
4,0,18133,145.341
4,74,281,25.341
5,0,18027,143.861
5,55,264,24.784
6,0,18032,145.214
6,20,303,23.971
7,0,18112,145.24
7,29,209,22.579
8,0,18120,144.54
8,23,280,25.661
9,0,17989,144.017
9,12,229,22.473
10,0,17982,145.521
10,22,257,24.234
10,132,4,0.03
11,0,17918,143.962
11,15,269,23.842
12,0,17811,141.44
12,39,234,23.409
13,0,18070,145.45
13,129,265,24.524
14,0,17807,142.564
14,34,268,23.275
15,0,18150,145.256
15,20,1,0.019
15,62,234,24.179
16,0,17995,143.317
16,20,245,22.11
17,0,18143,146.679
17,21,239,22.799
18,0,18119,146.075
18,11,264,22.956
19,0,18266,146.659
19,28,233,25.188
20,0,18112,144.284
20,51,265,23.709
21,0,18085,145.033
21,28,257,24.249
22,0,18012,144.932
22,9,270,25.339
23,0,17887,142.562
23,57,2,0.079
23,66,225,25.021
24,0,18109,145.702
24,30,256,23.997
25,0,17912,143.756
25,24,218,24.196
26,0,18269,146.794
26,20,272,23.44
27,0,18051,144.934
27,33,232,24.175
27,89,3,0.019
28,0,18189,145.551
28,137,270,25.031
28,228,1,0.011
29,0,18163,145.824
29,68,225,25.242
30,0,18004,143.2
30,16,229,23.165
30,100,1,0.006
31,0,18108,145.926
31,27,237,24.068
32,0,18101,144.969
32,36,214,24.709
33,0,18081,144.798
33,39,259,24.522
33,69,2,0.037
34,0,17943,145.946
34,38,225,22.646
35,0,18132,146.34
35,43,244,24.181
36,0,18009,143.969
36,21,275,26.192
37,0,18124,144.775
37,12,1,0.052
37,34,302,27.015
38,0,17905,143.188
38,41,241,25.163
39,0,18029,144.122
39,7,3,0.032
39,49,245,23.441
40,0,18333,147.88
40,17,314,26.064
40,311,2,0.013
41,0,18074,144.281
41,56,231,24.191
42,0,18146,146.333
42,53,260,24.031
43,0,17975,143.603
43,25,257,24.475
44,0,18144,144.547
44,32,236,24.809
45,0,18114,145.99
45,30,282,25.078
46,0,17786,142.851
46,11,250,23.148
47,0,18158,147.533
47,22,278,24.825
48,0,18219,148.411
48,53,299,24.417
49,0,18104,145.291
49,9,4,0.034
49,17,2,0.025
49,22,2,0.078
49,103,240,25.241
50,0,18198,145.264
50,2,3,0.063
50,17,247,22.55
51,0,18162,146.393
51,24,253,24.464
51,41,1,0.026
51,84,2,0.03
52,0,17935,142.572
52,106,244,26.181
53,0,18060,144.879
53,25,256,22.754
53,52,2,0.025
54,0,18093,144.617
54,84,259,24.635
55,0,18180,146.24
55,30,249,25.027
55,158,1,0.016
56,0,18142,143.736
56,19,1,0.024
56,24,256,24.415
57,0,18229,145.708
57,39,236,23.622
58,0,18270,146.416
58,23,235,25.582
59,0,18354,148.01
59,24,272,23.919
60,0,17891,143.152
60,11,2,0.021
60,27,248,23.509
61,0,18119,145.634
61,25,304,24.764
62,0,18167,146.565
62,29,244,22.189
63,0,18131,145.735
63,115,233,24.138
64,0,18088,145.172
64,45,254,24.505
65,0,18083,144.859
65,73,287,24.285
66,0,18110,144.83
66,26,238,25.254
67,0,18164,144.918
67,57,248,23.955
68,0,18237,145.769
68,7,8,0.07
68,140,260,23.703
68,197,1,0.013
69,0,18054,145.329
69,23,231,25.567
