event_n,event_clusters,n_hits,energy_value
111,0,18032,145.084
111,17,733,96.836
112,0,17537,142.532
112,5,3,0.026
112,74,2,0.032
112,90,633,95.352
113,0,17803,143.486
113,168,640,96.416
114,0,17919,145.346
114,460,625,103.704
114,466,1,0.009
115,0,17856,145.314
115,38,627,98.279
115,664,3,0.026
116,0,17703,141.382
116,35,663,102.194
117,0,17881,145.257
117,39,3,0.019
117,43,667,98.496
118,0,17706,142.719
118,7,3,0.106
118,63,4,0.077
118,82,603,99.531
119,0,17683,143.206
119,14,747,96.276
119,39,2,0.102
120,0,17955,145.865
120,19,809,93.986
120,32,2,3.547
121,0,17654,143.602
121,46,644,96.248
122,0,17853,143.968
122,52,626,92.791
122,240,2,0.012
123,0,17821,143.469
123,261,809,99.402
124,0,17901,144.126
124,17,792,102.771
124,110,2,0.048
125,0,17886,144.993
125,23,1,0.019
125,83,666,93.809
126,0,17807,143.861
126,43,1,0.016
126,52,696,97.653
127,0,18009,144.548
127,36,1,0.006
127,58,640,100.856
128,0,17991,146.552
128,62,598,99.72
129,0,17974,145.328
129,62,661,94.257
129,71,3,0.111
129,108,1,0.013
129,214,6,0.046
130,0,17568,142.291
130,105,674,99.954
131,0,17635,143.092
131,96,691,101.635
131,395,3,0.018
132,0,17962,144.371
132,156,671,97.708
132,278,4,0.026
133,0,17862,145.4
133,100,648,101.543
134,0,17733,145.095
134,35,1,0.015
134,40,803,99.141
135,0,17990,145.095
135,30,2,0.044
135,88,596,95.709
136,0,17826,142.982
136,5,1,0.032
136,6,1,0.009
136,62,653,97.912
136,92,2,0.037
136,102,1,0.011
137,0,17855,143.109
137,28,1,0.086
137,76,614,95.902
138,0,17962,146.379
138,46,631,99.455
139,0,17739,142.876
139,39,1,0.007
139,40,1,0.007
139,111,646,99.251
140,0,17811,145.54
140,250,639,96.929
141,0,17743,142.973
141,2,3,0.194
141,120,728,100.011
142,0,17838,144.349
142,244,654,103.446
143,0,18019,144.83
143,39,664,97.061
144,0,17815,143.15
144,4,1,0.093
144,38,756,92.042
145,0,17722,142.889
145,42,622,100.913
146,0,17642,144.048
146,35,1,0.087
146,189,635,98.378
147,0,17929,145.094
147,51,748,95.738
148,0,17955,143.425
148,74,615,93.334
148,134,3,0.059
149,0,17684,143.48
149,35,645,97.751
150,0,17795,143.044
150,14,3,0.212
150,172,734,98.775
150,304,3,0.075
151,0,17873,144.298
151,66,673,100.21
151,167,1,0.012
152,0,17690,142.651
152,6,1,0.006
152,12,12,0.107
152,71,7,0.046
152,133,715,100.577
152,214,1,0.024
153,0,18012,146.464
153,60,664,99.98
154,0,17830,142.748
154,10,2,0.018
154,194,533,102.474
155,0,17834,143.837
155,23,2,0.012
155,42,683,98.416
156,0,17591,140.973
156,30,638,101.404
157,0,17619,143.413
157,24,760,97.12
157,50,7,0.241
158,0,17743,143.816
158,49,649,97.154
159,0,17689,143.062
159,17,9,0.059
159,29,4,0.136
159,35,639,99.173
159,80,1,0.007
160,0,17750,143.418
160,39,607,96.058
160,78,2,0.092
160,87,1,0.008
161,0,17665,142.448
161,79,680,95.56
161,92,2,0.045
162,0,17843,144.566
162,103,678,99.12
162,124,1,0.006
163,0,17963,144.298
163,247,653,97.885
164,0,18004,144.44
164,53,644,99.302
165,0,18011,145.389
165,27,1,0.198
165,127,617,98.496
165,145,4,0.025
166,0,17878,145.184
166,3,4,0.087
166,50,657,91.191
167,0,17654,141.468
167,33,2,0.102
167,77,620,99.155
168,0,17892,145.543
168,42,633,98.622
169,0,17532,141.735
169,184,652,99.901
170,0,17758,144.552
170,25,642,97.922
170,60,2,0.031
171,0,18123,146.124
171,243,644,102.278
172,0,17847,143.056
172,104,1,4.699
172,190,744,95.775
172,554,2,0.03
173,0,17752,143.481
173,28,655,97.805
173,33,2,0.043
173,64,1,0.009
173,249,1,0.03
173,366,1,0.03
174,0,17741,143.42
174,79,700,99.649
175,0,17934,145.734
175,93,601,89.681
175,137,5,5.036
176,0,17730,142.222
176,189,6,0.181
176,223,678,99.796
177,0,17969,144.456
177,21,681,97.346
177,473,2,0.043
178,0,17819,145.277
178,61,636,93.74
179,0,17804,142.901
179,20,1,0.007
179,25,2,0.04
179,60,629,97.922
180,0,17630,141.755
180,32,681,97.163
180,51,1,0.023
181,0,18025,146.62
181,25,638,95.892
181,32,2,0.012
181,74,2,5.069
181,103,1,0.012
182,0,17935,146.284
182,2,2,0.019
182,72,2,0.059
182,79,660,96.356
183,0,18010,146.577
183,19,1,0.006
183,32,2,5.559
183,58,648,93.645
184,0,17892,145.948
184,14,1,0.017
184,157,784,99.946
185,0,17757,143.264
185,6,2,0.017
185,77,647,101.905
186,0,17700,142.386
186,41,657,100.914
187,0,17624,142.835
187,47,1,0.008
187,68,664,96.745
187,454,1,0.055
188,0,17866,144.77
188,27,4,0.055
188,69,4,0.123
188,168,738,100.526
189,0,17878,143.157
189,22,681,92.303
190,0,17827,143.049
190,126,1,0.013
190,172,618,99.325
191,0,17895,144.725
191,24,691,100.921
191,574,1,0.041
192,0,17809,142.83
192,69,6,0.258
192,198,778,97.225
192,743,2,0.044
193,0,17914,143.587
193,29,727,96.585
194,0,17725,142.052
194,64,1,0.015
194,93,745,97.272
194,152,1,0.032
194,653,2,0.012
194,694,2,0.053
195,0,18025,146.787
195,91,656,103.776
196,0,17557,141.497
196,54,666,99.116
197,0,17590,141.089
197,324,704,99.158
198,0,17925,145.778
198,305,1,0.12
198,401,640,98.612
199,0,17715,143.661
199,93,1,0.03
199,166,682,90.379
200,0,17786,143.122
200,18,3,0.028
200,22,1,0.017
200,55,680,97.254
201,0,17747,143.984
201,57,609,99.015
202,0,17771,142.558
202,52,638,99.353
203,0,17771,142.266
203,31,630,92.855
204,0,17843,144.092
204,92,1,0.007
204,199,674,100.523
204,467,3,0.022
205,0,17687,141.889
205,13,780,102.489
206,0,17837,144.401
206,16,2,0.039
206,28,619,97.834
207,0,17788,143.505
207,123,3,0.13
207,184,645,96.826
208,0,18056,145.569
208,22,773,98.952
209,0,17868,144.173
209,66,732,94.411
209,318,8,0.145
210,0,17865,146.268
210,48,1,0.007
210,228,661,92.276
211,0,17709,142.213
211,16,2,0.018
211,67,703,101.385
212,0,17707,142.443
212,61,2,0.065
212,82,802,96.037
213,0,17682,142.639
213,14,739,99.864
213,22,2,0.045
214,0,17709,143.761
214,232,652,102.641
215,0,17879,143.281
215,56,2,0.027
215,255,777,94.776
216,0,17735,141.889
216,65,1,0.044
216,106,614,93.825
216,388,3,0.018
217,0,17792,143.203
217,39,669,93.868
217,70,1,0.031
217,119,1,5.168
218,0,18058,145.122
218,11,2,0.035
218,188,616,97.82
219,0,17825,143.723
219,18,2,0.012
219,229,641,95.01
219,647,7,0.14
220,0,17752,144.246
220,34,663,99.317
221,0,17862,145.584
221,2,2,0.018
221,98,688,99.911
222,0,17846,143.23
222,80,608,99.251
223,0,17589,141.765
223,2,2,0.018
223,59,643,98.732
224,0,17897,144.076
224,32,714,97.58
224,63,1,0.014
225,0,17929,145.924
225,213,593,92.932
226,0,17971,146.762
226,18,781,100.592
226,34,5,0.151
226,126,1,0.013
226,449,5,0.628
227,0,17864,144.964
227,49,1,0.006
227,82,672,102.616
228,0,17811,142.25
228,8,1,0.019
228,31,1,0.027
228,75,604,97.056
229,0,18078,145.934
229,152,689,96.036
230,0,17946,143.514
230,20,749,95.211
231,0,17793,144.086
231,242,624,100.646
232,0,17782,143.405
232,45,646,97.204
232,85,2,0.017
233,0,17654,141.612
233,58,1,0.05
233,77,625,97.696
234,0,17852,143.01
234,107,2,0.013
234,268,639,101.841
234,579,1,0.009
235,0,17947,144.041
235,21,2,0.04
235,27,632,98.321
235,241,2,0.012
236,0,17870,143.9
236,148,683,96.124
237,0,17807,142.968
237,122,540,96.945
238,0,17792,143.7
238,102,670,96.322
239,0,17882,144.221
239,62,640,91.864
240,0,17844,143.869
240,21,628,95.505
241,0,17740,143.177
241,26,1,0.006
241,236,1,4.499
241,268,718,93.084
242,0,17775,144.026
242,56,1,0.009
242,58,4,0.084
242,259,669,99.412
243,0,17473,141.661
243,88,633,98.701
244,0,17770,143.56
244,9,5,0.047
244,299,673,103.166
245,0,17958,145.355
245,50,654,94.168
245,71,1,4.814
246,0,17758,144.642
246,9,4,0.07
246,36,1,0.006
246,122,647,97.736
247,0,17800,142.692
247,249,612,96.764
248,0,17938,143.576
248,35,669,98.967
249,0,17771,144.205
249,136,633,89.973
249,182,1,0.006
250,0,18057,146.522
250,55,640,101.231
251,0,17941,144.598
251,29,624,97.453
251,32,1,0.028
252,0,17814,144.46
252,249,1,0.041
252,266,659,96.038
253,0,17865,143.668
253,82,651,99.126
254,0,17592,142.82
254,12,748,101.202
255,0,17968,145.67
255,256,653,97.41
256,0,17844,143.681
256,148,1,0.006
256,151,705,97.428
256,155,1,0.018
257,0,17804,142.719
257,77,637,98.056
258,0,17749,143.089
258,17,640,97.815
259,0,17965,144.518
259,21,4,0.044
259,31,664,100.333
260,0,17858,142.711
260,104,605,93.798
260,506,1,0.007
261,0,17632,141.649
261,65,790,100.707
261,782,5,0.242
262,0,17818,142.552
262,35,655,97.536
262,266,2,0.021
263,0,17744,143.129
263,150,643,95.62
264,0,17907,144.182
264,27,1,0.038
264,89,677,99.355
265,0,17925,143.484
265,36,645,98.428
265,276,1,0.013
266,0,17731,143.487
266,121,626,99.792
267,0,17590,141.8
267,148,1,0.011
267,241,611,99.135
268,0,17759,144.495
268,223,651,99.627
269,0,17815,144.696
269,109,1,0.012
269,114,664,95.42
270,0,17670,140.527
270,226,662,103.661
271,0,17739,142.378
271,296,626,98.645
272,0,17833,144.846
272,30,668,100.359
272,62,3,0.03
273,0,17907,144.183
273,39,616,93.292
274,0,17707,143.976
274,31,2,0.047
274,140,1,0.006
274,206,742,95.503
275,0,17636,141.745
275,82,659,98.379
276,0,17924,143.512
276,88,617,98.26
277,0,17719,143.658
277,47,650,100.51
278,0,17815,142.896
278,172,766,101.528
279,0,17787,144.431
279,195,608,99.188
280,0,17778,142.5
280,150,662,98.396
280,274,4,0.078
281,0,17882,144.682
281,3,1,0.046
281,191,577,100.65
282,0,17832,144.308
282,165,675,98.899
283,0,17906,144.494
283,16,726,97.17
284,0,17610,143.58
284,16,686,97.843
284,58,1,0.075
284,75,1,0.006
285,0,17886,143.785
285,29,622,96.508
285,36,1,0.007
286,0,17705,142.121
286,71,5,0.065
286,217,662,101.423
286,448,1,0.047
287,0,17699,142.237
287,209,639,96.396
288,0,18007,145.606
288,334,605,98.024
289,0,17764,142.252
289,11,1,0.024
289,79,650,102.094
290,0,17891,143.939
290,13,644,95.777
290,608,2,0.012
291,0,17768,143.586
291,13,682,96.252
292,0,17699,143.272
292,159,711,98.559
293,0,17774,143.228
293,20,793,96.983
293,68,1,0.021
294,0,18098,145.842
294,43,2,0.049
294,52,624,101.955
295,0,17955,145.0
295,39,676,100.057
296,0,17698,142.549
296,287,553,100.237
297,0,17703,144.545
297,413,664,94.892
297,434,1,0.021
297,458,1,5.354
298,0,17829,141.869
298,120,1,0.009
298,142,693,95.687
298,404,1,0.019
299,0,17922,143.478
299,80,680,100.102
