noise,n_events,n_clusters_mean
0.05,1000,8.8
0.1,1000,3.39
0.15,1000,2.7
0.2,1000,2.64
0.25,1000,3.79
0.3,1000,7.14
0.35,1000,9.91
0.4,1000,11.68
0.45,1000,12.48
0.5,1000,13.24
0.55,1000,13.78
0.6,1000,13.94
0.65,1000,14.07
0.7,1000,14.22
0.75,1000,14.28
0.8,1000,14.35
0.85,1000,14.28
0.9,1000,14.23
0.95,1000,14.1
