noise,n_events,n_clusters_mean
0.05,1000,7.31
0.1,1000,3.46
0.15,1000,2.78
0.2,1000,2.65
0.25,1000,2.78
0.3,1000,3.1
0.35,1000,3.74
0.4,1000,4.64
0.45,1000,5.29
0.5,1000,6.32
0.55,1000,7.61
0.6,1000,9.52
0.65,1000,11.61
0.7,1000,12.78
0.75,1000,14.14
0.8,1000,14.73
0.85,1000,14.77
0.9,1000,14.7
0.95,1000,14.59
