noise,n_events,n_clusters_mean
0.05,1000,8.63
0.1,1000,3.9
0.15,1000,3.04
0.2,1000,2.8
0.25,1000,2.88
0.3,1000,3.03
0.35,1000,3.48
0.4,1000,4.5
0.45,1000,5.79
0.5,1000,7.35
0.55,1000,8.94
0.6,1000,10.74
0.65,1000,12.14
0.7,1000,13.41
0.75,1000,14.55
0.8,1000,15.05
0.85,1000,15.07
0.9,1000,14.92
0.95,1000,14.71
