noise,n_events,n_clusters_mean
0.05,1000,7.13
0.1,1000,3.04
0.15,1000,2.44
0.2,1000,2.21
0.25,1000,2.2
0.3,1000,2.4
0.35,1000,2.87
0.4,1000,3.7
0.45,1000,4.59
0.5,1000,5.12
0.55,1000,5.86
0.6,1000,6.75
0.65,1000,7.44
0.7,1000,7.7
0.75,1000,7.93
0.8,1000,8.04
0.85,1000,8.42
0.9,1000,9.18
0.95,1000,10.23
