noise,n_events,n_clusters_mean
0.05,1000,8.65
0.1,1000,3.98
0.15,1000,3.33
0.2,1000,3.35
0.25,1000,4.17
0.3,1000,5.82
0.35,1000,8.43
0.4,1000,11.64
0.45,1000,13.43
0.5,1000,14.21
0.55,1000,14.71
0.6,1000,14.78
0.65,1000,15.01
0.7,1000,14.98
0.75,1000,14.81
0.8,1000,14.87
0.85,1000,14.76
0.9,1000,14.42
0.95,1000,14.24
